Czasy przejazdów	Augustów	Białystok	Bydgoszcz	Częstochowa	Elbląg	Gdańsk	Gdynia	Gorzów_Wielkopolski	Grudziądz	Katowice	Kielce	Koszalin	Kraków	Legnica	Lublin	Nowy_Dworek	Olsztyn	Opole	Piotrków_Trybunalski	Piła	Poznań	Przemyśl	Radom	Rzeszów	Szczecin	Tarnów	Warszawa	Wrocław	Włocławek	Zakopane	Łódź
Augustów	0	75	432	445	244	283	314	569	359	500	359	474	461	621	289	522	170	577	356	522	445	507	299	445	579	503	207	560	386	577	305
Białystok	75	0	390	370	319	358	389	494	434	425	284	549	386	546	214	447	245	502	281	473	370	432	224	370	562	428	132	485	311	502	230
Bydgoszcz	432	390	0	300	188	149	180	231	73	355	370	339	414	283	391	184	262	299	211	90	107	604	310	542	234	484	258	222	79	530	160
Częstochowa	445	370	300	0	471	449	480	404	373	55	216	577	114	270	281	357	397	132	89	383	280	304	188	242	472	184	238	209	221	230	140
Elbląg	244	319	188	471	0	39	70	403	115	526	385	230	487	471	366	372	74	487	382	278	295	584	325	522	335	557	233	410	267	603	331
Gdańsk	283	358	149	449	39	0	31	364	76	504	424	191	526	432	405	333	113	448	360	239	256	623	364	561	296	596	272	371	228	642	309
Gdynia	314	389	180	480	70	31	0	333	107	535	455	160	557	463	436	364	144	479	391	270	287	654	395	592	265	627	303	402	259	673	340
Gorzów_Wielkopolski	569	494	231	404	403	364	333	0	304	362	474	173	421	147	495	47	477	285	315	212	124	611	414	549	68	491	362	208	310	537	264
Grudziądz	359	434	73	373	115	76	107	304	0	428	443	267	487	356	464	257	189	372	284	163	180	677	383	615	307	557	331	295	152	603	233
Katowice	500	425	355	55	526	504	535	362	428	0	161	535	59	215	314	315	452	77	144	372	269	249	221	187	430	129	293	154	276	175	195
Kielce	359	284	370	216	385	424	455	474	443	161	0	615	102	376	153	427	311	238	159	453	350	292	60	230	542	172	152	315	291	218	210
Koszalin	474	549	339	577	230	191	160	173	267	535	615	0	594	320	596	220	304	458	488	249	297	784	555	722	105	664	463	381	418	710	437
Kraków	461	386	414	114	487	526	557	421	487	59	102	594	0	274	255	374	413	136	203	431	328	190	162	128	489	70	254	213	335	116	254
Legnica	621	546	283	270	471	432	463	147	356	215	376	320	274	0	529	100	545	138	359	279	176	464	436	402	215	344	414	61	362	390	316
Lublin	289	214	391	281	366	405	436	495	464	314	153	596	255	529	0	448	292	391	192	474	371	218	93	156	563	214	133	468	312	371	231
Nowy_Dworek	522	447	184	357	372	333	364	47	257	315	427	220	374	100	448	0	446	238	268	180	77	564	367	502	115	444	315	161	263	490	217
Olsztyn	170	245	262	397	74	113	144	477	189	452	311	304	413	545	292	446	0	529	308	352	369	510	251	448	409	483	159	484	338	529	257
Opole	577	502	299	132	487	448	479	285	372	77	238	458	136	138	391	238	529	0	221	295	192	326	298	264	353	206	370	77	353	252	272
Piotrków_Trybunalski	356	281	211	89	382	360	391	315	284	144	159	488	203	359	192	268	308	221	0	294	191	393	99	331	383	273	149	298	132	319	51
Piła	522	473	90	383	278	239	270	212	163	372	453	249	431	279	474	180	352	295	294	0	103	621	393	559	144	501	341	218	169	547	243
Poznań	445	370	107	280	295	256	287	124	180	269	350	297	328	176	371	77	369	192	191	103	0	518	290	456	192	398	238	115	186	444	140
Przemyśl	507	432	604	304	584	623	654	611	677	249	292	784	190	464	218	564	510	326	393	621	518	0	311	62	679	120	351	403	525	306	444
Radom	299	224	310	188	325	364	395	414	383	221	60	555	162	436	93	367	251	298	99	393	290	311	0	249	482	232	92	375	231	278	150
Rzeszów	445	370	542	242	522	561	592	549	615	187	230	722	128	402	156	502	448	264	331	559	456	62	249	0	617	58	289	341	463	244	382
Szczecin	579	562	234	472	335	296	265	68	307	430	542	105	489	215	563	115	409	353	383	144	192	679	482	617	0	559	430	276	313	605	332
Tarnów	503	428	484	184	557	596	627	491	557	129	172	664	70	344	214	444	483	206	273	501	398	120	232	58	559	0	324	283	405	186	324
Warszawa	207	132	258	238	233	272	303	362	331	293	152	463	254	414	133	315	159	370	149	341	238	351	92	289	430	324	0	353	179	370	98
Wrocław	560	485	222	209	410	371	402	208	295	154	315	381	213	61	468	161	484	77	298	218	115	403	375	341	276	283	353	0	301	329	255
Włocławek	386	311	79	221	267	228	259	310	152	276	291	418	335	362	312	263	338	353	132	169	186	525	231	463	313	405	179	301	0	451	81
Zakopane	577	502	530	230	603	642	673	537	603	175	218	710	116	390	371	490	529	252	319	547	444	306	278	244	605	186	370	329	451	0	370
Łódź	305	230	160	140	331	309	340	264	233	195	210	437	254	316	231	217	257	272	51	243	140	444	150	382	332	324	98	255	81	370	0
